"TR:TCGAMGAAMC01:CellLine","TR:TCGACH574801:CellLine","TR:TCGACH574101:CellLine","TR:TCGAV1A9O901:CellLine","TR:TCGAYLA9WL01:CellLine","TR:TCGAHC774401:CellLine","TR:TCGAKKA6E001:CellLine","TR:TCGAYLA8HK01:CellLine","TR:TCGAQUA6IL01:CellLine","TR:TCGAJ4A67L01:CellLine","TR:TCGAEJ549701:CellLine","TR:TCGACH576101:CellLine","DA:ALL","TR:CDC7","TR:CDON","TR:GADD45B","TR:parent_of_TRIM281","TR:RPS6KA2","TR:RYK","TR:WNT1","TR:WNT4","TR:HMGA2","TR:MAPKAPK3","TR:parent_of_ATM1","TR:PPARA","TR:PPARD","TR:ULK2","TR:HDAC10","TR:BIRC5","TR:HIPK1","TR:KCNIP3","TR:parent_of_CASP3-1_____CASP7-1_____CASP9-1","TR:PRKCA","TR:BIRC7","TR:EIF2AK3","TR:RIPK1","TR:SF1","TR:CSNK1E","TR:GOLGA7","DV:ABL1","DV:ATM","DV:AXIN1","DV:BAK1","DV:BCL2L2","DV:CDK5","DV:CREB1","DV:CREBBP","DV:DAXX","DV:DDX3X","DV:E2F1","DV:EIF4E","DV:ESCO1","DV:FAS","DV:FUS","DV:FZD8","DV:IRS1","DV:LRP6","DV:MAP3K4","DV:NR1H2","DV:parent_of_FUS1","DV:parent_of_HRAS1_____NRAS1","DV:PRKAB1","DV:PSIP1","DV:RNF111","DV:TRIM28","DV:BAX","DV:BID","DV:CASP3","DV:DIABLO","DV:EIF4G2","DV:HSPB2","DV:ILK","DV:parent_of_AKT11_____AKT21_____AKT31","DV:PPP1R1B"
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0.636544942723794,0.897236162740303,0.648206249444245,0.359767549791851,0.767745825941218,1,0.0762261388845384,0.617284499741057,NA,NA,1,NA,0.217229948747382,0.866447476905671,NA,NA,0.906442856499417,NA,1,1,NA,0.571979141427079,0.810332143134663,NA,NA,0,0.359767549791851,0.221099055325722,0.448468929850504,0.355934487123039,0.648526166314796,0.387775781147218,0.620056154615265,0.620056154615265,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.420522770128916,0.839864287502055,0.461213948700326,0.577359863756018,0.555047009909457,0.461248245816155,0.555047009909457,0.298944192071943,0.330090527253173,0.555047009909457,NA,0.298944192071943,0.346529549548503,0.519658021566834,NA,0.672385240113522,NA,NA,NA,NA,0,NA,NA,0.712980351179741,0.579486642657011,0.461213948700326,0.418925903353836,0.785998878309439,1,0,0,0,0,0.776233901094518
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0.418918841956636,0.83425624288853,0.692762557362962,0.170217206715831,1,0.913998537089493,0.529083965895245,0.547967396355346,0,NA,0.448601327865261,NA,0.0533804877558734,0.151989200824352,0.314225282381048,0.270208209722156,0.770379384043382,0.270208209722156,0.805122768066,NA,0.306524408104454,0.159047251718225,0.704293194523692,0.704656999970885,0.538562464064773,0,0,0.153854357823487,0.389964443288347,0.312895316448888,0.604922985498601,0.470421095927661,0.605231992821497,0.605231992821497,0.90985437145099
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0.370062790154701,0.370062790154701,0.950020217001047,0.626460837714305,NA,0.564469234840882,0.370062790154701,0.370062790154701,0.678878440879181,0.72046437686916,0.370062790154701,0.22260951891609,0.378471003543173,NA,0.554391257906365,1,0.404580402138511,0.993933457243051,0.0759366948347482,0.678878440879181,0.613933907073934,0.61985441674529,0.296303484157595,0.502885071652423,0.950020217001047,0.678878440879181,0.485654852141817,0.500993945502285,0.512718684958421,0.651865821698948,0.410531526284272,NA,0.212385430905018,0.315370391014509,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,1,0,0,0,0,10,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.109243508217827,0.861422189890573,0.773155166926719,NA,0.428753732675228,NA,0.105846931789274,0.773155166926719,0.728271853274889,0.262115795751844,0.728271853274889,0.773155166926719,NA,0.74059570821408,0.748593082034863,0.681399073466564,0.806645428796566,0.85691510071722,1,0.754464331747465,0.770576414582457,0.330054314408504,0.750592653635475,0.684581356806448,0.773155166926719,0.512354064803799,NA,0.567901689801393,0.603296493645965,NA,0.476648877771155,0.134630382634253,0.351700118064042,0.0790810604136241,0.200342306112844
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0.845393089713104,0.724840552446845,0.723247694193909,0,1,0.845393089713104,0.796258956703415,0.244191632763068,0.383583175395879,0.313802049444628,NA,0.178443285489564,0.44791370908194,0.303797317616628,0.245765919718355,0.649177453674611,0.757586283681449,0.77372285716255,0,0.634170868104804,0.241872089917471,0.860840265534606,0.702308389667322,0.642584213893751,0.723247694193909,0,0,0,0.304305966473601,0,0.835109610617812,0.76471396921621,0.897440185427456,0.687837335230979,0.818723942295675
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.576048090067595,NA,0.555858948986869,0.516941531280353,0.422951682804317,0.28324750464446,0.76369860026177,1,0.21381739289374,0.939217734494914,0.0904813941411713,0.5,1,0.353567800286632,0.231551041482507,0.727348988193231,0.590396628277795,0.590396628277795,0.551801717934401,1,0.211827115657654,0.9406660442324,0.57183156936914,0.387987251218141,NA,0,0.516941531280353,0.419533274895518,0.337537039959505,0.229296303647737,0.724178504675519,0.84047665374761,0.583766327127621,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0137874913041415,1,NA,0.395931674086935,0.588768704000343,0.858517827370787,0.53342691606283,0.567651784681265,0,0.5,NA,0.811773195694873,0.0637365986760381,0,NA,NA,1,NA,0.507565890201464,0.0137874913041415,NA,0,1,NA,NA,0.362749661854491,0.395931674086935,0.407071169531626,0.442676960888898,NA,NA,0.145052341621983,0.0798906910339727,0.0733062907595045,0.258230128258115
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.558011151630171,0.795361395941594,0.0622074263160927,0.983807222317551,0.111551287202985,0.508590656627516,0.957294577924611,0.665837323408896,1,0.264130413997818,0.494510245599053,0.820022361139614,0.705838594729162,0.612289668964245,0.748786273393777,0.601228644800109,0.836272857806059,0.498550969299944,0.932439822029565,0.599347402393487,0.651875182228853,0.14459613820182,0.830556567673612,0.24079960718067,0.398056580031356,1,0.704397903351083,0.974390146404648,0.509887574643334,0.594928832261703,0.452259271414386,0.775005131769456,0.775005131769456,0.775005131769456,0.832865070209212
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485776141621934,0.0894458483789099,1,0.647900296566173,0.445615935481602,0.21186375373584,1,1,0.99263930660086,0,0.407199389823555,1,0,0.637116729372451,0.684580918452371,0.597025189589344,0.613595765231757,1,0.639019260246983,0,0.677847263966049,0,0.688406380301146,0.556896225480105,1,0.754612314892622,NA,NA,NA,NA,NA,NA,NA,NA,NA
